Traoré,Fatou,CyberShield,Cybersécurité,Lecture,10,Timidité,Adaptabilité,Noir,Thiéboudienne,Eau,Java
Dubois,Antoine,DataSense,Data,Coding,5,Perfectionnisme,Créativité,Blanc,Sushi,Café,C#
Ndiaye,Chloé,HealthConnect,Mobile,Danse,2,Désorganisation,Sens de l'humour,Rose,Yassa Poulet,Smoothie,Kotlin
Dupont,Marie,FinTrack,Data,Lecture,7,Perfectionnisme,Organisé,Bleu,Pizza,Café,Python
Diallo,David,AgriTech+,DevOps,Football,3,Impatience,Persévérant,Vert,Couscous,Thé,Go
Smith,Fatoumata,SafeCity,IA,Gaming,5,Timidité,Créatif,Noir,Sushi,Jus d'orange,JavaScript
Kim,Sophie,EduBoost,Mobile,Danse,2,Distrait,Optimiste,Rose,Ramen,Smoothies,Kotlin
Garcia,Alex,HealthConnect,Cybersécurité,Voyage,10,Têtu,Rigoureux,Rouge,Tacos,Bière,C#
Müller,Aisha,GreenEnergy,Cloud,Randonnée,8,Procrastination,Fiable,Jaune,Lasagnes,Eau,Java
Ivanov,Jean,SmartLogistics,SRE,Cuisine,4,Bavard,Sociable,Gris,Poulet Yassa,Soda,Bash
Ouédraogo,Kévin,DataPulse,UX/UI Design,Musique,1,Maladroit,Empathique,Violet,Burger,Jus de mangue,TypeScript
Johnson,Yasmine,AIInnovate,Data,Photographie,6,Impulsif,Logique,Orange,Paëlla,Vin,Python
Dubois,Pierre,CyberGuard,Dev Web,Sport,12,Rigide,Déterminé,Blanc,Pâtes Carbonara,Eau gazeuse,PHP
Diallo,Fatou,AgriTech+,Data,Lecture,5,Procrastination,Rigoureux,Bleu,Thiéboudienne,Café,Python
Smith,Bob,SafeCity,Dev Web,Gaming,2,Impatience,Créatif,Vert,Burger,Jus d'orange,JavaScript
Garcia,Diana,EduBoost,IA,Voyage,8,Têtu,Organisé,Rouge,Sushi,Thé,Java
Ndiaye,Moussa,FinTrack,Cybersécurité,Football,10,Distrait,Persévérant,Noir,Yassa Poulet,Coca-Cola,C#
Martin,Sophie,HealthConnect,Mobile,Danse,3,Timidité,Empathique,Rose,Salade César,Smoothy,Swift
Traoré,Amadou,SmartLogistics,Cloud,Coding,7,Bavard,Communicatif,Jaune,Couscous,Eau,Go
Bernard,Lucas,CyberGuard,DevOps,Randonnée,12,Maniaque,Rigoureux,Gris,Pizza,Bière,Rust
Jones,Alice,DataInsight,Big Data,Photographie,6,Sensible,Curieux,Violet,Ramen,Limonade,TypeScript
Koné,Mariam,RoboChef,IA,Cuisine,4,Impulsif,Optimiste,Orange,Tajine,Chocolat chaud,Kotlin
Ouédraogo,Hugo,AutoDrive,Embarqué,Natation,9,Perfectionnisme,Méthodique,Blanc,Paella,Vin,C++
"Kim","Noah","MediScan 360","QA Engineer / Testeur Logiciel","Photographie",11,"Désordonné","Proactif","Rouge cerise","Jollof Rice","Jus de bissap","Python"
"Diallo","Manon","CloudVault","Développement Web Frontend","Randonnée",6,"Narcissique","Fiable","Bleu ciel","Sushi","Soda","JavaScript"
"Johnson","Ethan","FinTrack","Ingénieur Cloud (AWS/Azure/GCP)","Gaming",8,"Impatience","Analytique","Vert pomme","Kebab","Café","Java"
"Müller","Chloe","CyberShield","Spécialiste en Cybersécurité","Voyage",3,"Orgueilleux","Empathique","Violet foncé","Biryani","Thé glacé","C#"
"Garcia","Liam","EduBoost","Data Scientist","Lecture",7,"Têtu","Curieux","Rose fuchsia","Tacos","Limonade","Python"
"Diallo","Maya","GreenPlanet Initiative","Développement Mobile (Android)","Sport (général)",4,"Paresseux","Adaptable","Orange vif","Poulet Yassa","Jus d'ananas","Kotlin"
"Smith","Aïcha","AgriTech+","Développement Fullstack","Cuisine",9,"Procrastination","Organisé","Marron chocolat","Couscous","Eau","PHP"
"Chen","Gabriel","SmartRetail","DevOps","Musique (jouer)",12,"Distrait","Rigoureux","Bleu canard","Ramen","Bière","Go"
"Traoré","Olivia","HealthConnect","Architecte Logiciel","Méditation",10,"Susceptible","Pédagogue","Vert anis","Thieboudienne","Smoothie","Java"
"Dupont","Jules","SafeCity","Analyste de données","Écriture",2,"Manque de confiance en soi","Honnête","Jaune citron","Pizza","Jus d'orange","SQL"
"Ndiaye","Léa","FinFlow ERP","Ingénieur Machine Learning","Photographie",5,"Impatience","Persévérant","Rouge sang","Curry Indien","Coca-Cola","Python"
"Rossi","Arthur","HomeSmart Hub","UX/UI Designer","Dessin",1,"Timide","Créatif","Gris perle","Lasagnes","Eau pétillante","HTML/CSS"
"Singh","Charlotte","GlobalTrade AI","Développement Mobile (iOS)","Danse",7,"Égoïste","Communicant","Orange brûlé","Pad Thai","Milkshake","Swift"
"Sow","Inès","BioInsight","Spécialiste IoT","Bénévolat",6,"Gourmand","Bienveillant","Violet clair","Mafé","Jus de bissap","C++"
"Martin","Lucas","UrbanMobility App","Ingénieur Embarqué","Jardinage",8,"Colérique","Logique","Rose bonbon","Choucroute","Thé","C"
"Leclerc","Sophia","FoodWaste Tracker","Blockchain Developer","Gaming",3,"Jaloux","Innovant","Marron noisette","Burger","Jus de pomme","Solidity"
"Koné","Emma","CyberGuard Pro","Ingénieur Big Data","Randonnée",14,"Indécis","Réactif","Bleu marine","Paella","Vin rouge","Scala"
"Diop","Chloé","NextGen Pharma","Chef de Projet Technique","Sport (général)",13,"Pessimiste","Leadership","Vert clair","Poulet Yassa","Jus de gingembre","Python"
"Cissé","Sarah","GreenEnergy Monitor","Data Engineer","Voyage",9,"Naïf","Objectif","Jaune pâle","Sushi","Jus d'ananas","SQL"
"Keïta","Louis","SmartFarm 4.0","DevSecOps Engineer","Coding (projets perso)",11,"Bavard","Autonome","Rouge cerise","Tajine","Café","Python"
"Fall","Jade","VirtuFit","Développement Web Backend","Lecture",4,"Narcissique","Rigoureux","Gris anthracite","Fufu et sauce arachide","Jus d'orange","JavaScript"
"Sy","Hugo","RoboChef","Product Owner Tech","Cuisine",10,"Distrait","Pédagogue","Bleu ciel","Pizza","Eau","PHP"
"Touré","Paul","AquaFarm Innovations","Cloud Security Engineer","Photographie",7,"Arrogant","Fiable","Vert pomme","Thieboudienne","Soda","Go"
"Coulibaly","Marie","QuantumSecure","Fullstack Architect","Musique (écouter)",15,"Manipulateur","Adaptable","Violet foncé","Curry Indien","Bière","Java"
"Sanogo","Lina","EcoBuild Tech","AI-Driven Healthcare","Danse",5,"Négatif","Proactif","Rose fuchsia","Tacos","Vin blanc","C#"
"Camara","Julia","Space Explorer VR","Mobile Architect","Sport (général)",2,"Dramatique","Curieux","Marron chocolat","Lasagnes","Limonade","Swift"
"Bâ","Clara","EduKidz Play","Data Architect","Écriture",8,"Prétentieux","Esprit d'équipe","Bleu canard","Ramen","Eau pétillante","SQL"
"Kane","Alice","CodeMentor AI","Machine Learning Engineer","Jardinage",6,"Imprudent","Honnête","Vert anis","Fish and Chips","Milkshake","Python"
"Diarra","Adam","DataDriven Insights","Deep Learning Engineer","Gaming",1,"Insensible","Déterminé","Jaune citron","Bœuf Bourguignon","Jus de mangue","TensorFlow"
"Traoré","Olivia","SecureVote Blockchain","Natural Language Processing (NLP) Specialist","Voyage",12,"Hypocrite","Sens de l'humour","Rouge sang","Coq au Vin","Chocolat chaud","Python"
Diallo,Moussa,SafeCity,Développement Mobile,Football,8,Impatience,Adaptable,Vert,Couscous,Jus d'orange,Java
Dupont,Alice,EduBoost,Data Science,Lecture,4,Procrastination,Organisé,Bleu,Pizza,Café,Python
Silva,João,FinTrack,Développement Web,Gaming,6,Timide,Créatif,Rouge,Sushi,Coca-Cola,JavaScript
Schmidt,Sophie,HealthConnect,Intelligence Artificielle,Yoga,10,Perfectionnisme,Rigoureux,Blanc,Salade Composée,Thé,Python
Kim,Chin,CyberGuard,Cybersécurité,Coding,7,Désorganisé,Logique,Noir,Riz Cantonais,Eau,Go
Chen,Yara,EcoSmart,Cloud Computing,Randonnée,3,Distrait,Curieux,Jaune,Curry Indien,Smoothie,Python
García,Diego,AeroNav,DevOps,Voyage,9,Trop direct,Fiable,Violet,Tacos,Limonade,Bash
Johnson,David,DataFlow,Big Data,Musique,12,Têtu,Déterminé,Bleu,Lasagnes,Bière (sans alcool),SQL
Traoré,Amara,MobileSense,Développement Mobile,Danse,5,Susceptible,Esprit d'équipe,Rose,Poulet Yassa,Jus de mangue,Kotlin
Nzoukou,Mariam,CloudVault,UI/UX Design,Dessin,2,Manque de confiance,Pédagogue,Orange,Crêpes,Chocolat chaud,JavaScript
Müller,Maxime,RoboFarm,IoT,Jardinage,11,Râleur,Patient,Vert,Burger,Café glacé,C++
Ivanov,Benjamin,GreenEnergy,Machine Learning,Sport,7,Excessivement critique,Logique,Rouge,Pâtes Carbonara,Eau gazeuse,Python
Khan,Aisha,SmartLogistics,Réseaux,Photographie,8,Névrosé,Communicatif,Blanc,Chawarma,Thé vert,Bash
Nakamura,Yassine,BioGenius,Tests Logiciels,Lecture,3,Naïf,Autonome,Noir,Sushi,Jus d'orange,TypeScript
Dubois,Pierre,UrbanX,Blockchain,Gaming,6,Impatience,Curieux,Bleu,Pizza,Coca-Cola,Rust
Fall,Fatoumata,FutureGrid,Embarqué,Cuisine,10,Procrastination,Organisé,Jaune,Thieboudienne,Limonade,C
Santos,Isabella,OptiMinds,Data Science,Voyage,4,Timide,Créatif,Rose,Salade Composée,Smoothie,R
Wang,Léa,CodeCraft,Développement Web,Coding,9,Désorganisé,Rigoureux,Violet,Riz Cantonais,Eau,JavaScript
Lopes,João,WebSphere,DevOps,Football,5,Râleur,Adaptable,Vert,Couscous,Café,Go
Ndoye,Aisha,AgriTech+,Intelligence Artificielle,Danse,13,Têtu,Déterminé,Rouge,Poulet Yassa,Jus de mangue,Python
"Mbaye","Olivia","DataInsight","Mobile","Jardinage",12,"Timidité","Communicatif","Gris","Curry","Jus de bissap","Go"
"Chen","Mariam","InnovSpace","Cybersécurité","Voyage",3,"Rancunier","Pédagogue","Orange","Paella","Eau de coco","PHP"
"Rossi","Lucas","EcoBuild","Dev Web","Musique",7,"Désordonné","Optimiste","Turquoise","Tacos","Lait","JavaScript"
"Kim","Sarah","CyberGuard","IA","Échecs",9,"Impulsif","Analytique","Violet","Ramen","Smoothie","Python"
"Johnson","Sophie","SmartLogistics","DevOps","Coding",5,"Bavard","Adaptable","Noir","Burger","Café","Rust"
Amadou,Diallo,AgriTech+,Dev Web,Coding,7,Procrastination,Rigueur,Vert,Thieboudienne,Jus de bissap,JavaScript
Chloé,Chen,SafeCity,IA,Lecture,3,Timidité,Curiosité,Bleu,Sushi,Thé,Python
Marc,Traoré,FinTrack,Cybersécurité,Gaming,11,Entêtement,Persévérance,Noir,Mafé,Café,C#
Kenza,Garcia,EduBoost,Mobile,Danse,2,Impatience,Adaptabilité,Rose,Tajine,Smoothie,Kotlin
Omar,Kim,HealthConnect,Cloud,Voyage,9,Désorganisation,Créativité,Jaune,Ramen,Eau,Go
Martin,Aisha,EduBoost,Data,Musique,7,Impatience,Organisé,Vert,Couscous,Jus d'orange,Python
Nzou,Mamadou,SafeCity,Mobile,Foot,3,Têtu,Créatif,Bleu,Thieboudienne,Bissap,Java
Kim,Lena,FinTrack,Dev Web,Gaming,10,Perfectionniste,Rigoureux,Noir,Sushi,Thé,JavaScript
Garcia,Carlos,HealthConnect,IA,Voyage,5,Distrait,Curieux,Rouge,Tacos,Café,Go
Sylla,Fatou,AgriTech+,Cloud,Danse,2,Timide,Empathique,Jaune,Mafé,Jus de gingembre,PHP
Dubois,Antoine,AgriTech+,Dev Web,Lecture,5,Impatience,Créativité,Bleu,Pizza,Café,Python
Diallo,Fatoumata,SafeCity,IA,Danse,8,Désordonné,Empathie,Vert,Thieboudienne,Jus d'orange,Java
Smith,John,EduBoost,Cybersécurité,Gaming,2,Procrastination,Rigueur,Noir,Burger,Eau,C#
Ndiaye,Khadija,FinTrack,Data,Voyage,11,Têtu,Persévérance,Rouge,Sushi,Thé,SQL
Johnson,Emily,HealthConnect,Cloud,Cuisine,7,Distrait,Optimisme,Jaune,Salade composée,Smoothie,JavaScript
Nom,Prénom,Projet,Spécialité,Hobby,Nombre d'années d'expérience,Défaut,Qualité,Couleur préférée,Plat préféré,Boisson préférée,Langage préféré
Martin,Sophie,AgriTech+,Data Science,Lecture,7,Impatience,Empathie,Vert,Thiéboudienne,Bissap,Python
Dubois,Antoine,EduBoost,Développement Web,Gaming,3,Procrastination,Créativité,Bleu,Pizza,Coca-Cola,JavaScript
Kone,Aïcha,SafeCity,Cybersécurité,Voyage,10,Têtu,Rigueur,Noir,Yassa,Thé,Go
Garcia,Lucas,FinTrack,DevOps,Coding,5,Désordonné,Adaptabilité,Rouge,Burger,Café,PHP
Sow,Fatou,HealthConnect,IA,Randonnée,8,Sensibilité,Patience,Violet,Sushi,Eau,Python
Dupont,Marie,FinTrack,Dev Web,Lecture,7,Perfectionniste,Rigoureux,Bleu,Pizza,Café,Python
Traoré,Adama,AgriTech+,IA,Foot,3,Impatient,Collaboratif,Vert,Thieboudienne,Bissap,Java
Smith,John,HealthConnect,Cybersécurité,Gaming,10,Têtu,Fiable,Noir,Burger,Bière,C#
Garcia,Sofia,EduBoost,Mobile,Danse,5,Sensible,Créatif,Rose,Sushi,Jus d'orange,Swift
Kim,Daouda,SmartLogistics,DevOps,Voyage,8,Distrait,Organisé,Gris,Riz cantonais,Eau,Go
Dupont,Alice,AgriTech+,DevOps,lecture,7,impulsivité,adaptabilité,Gris,Paella,Thé,C++
Ouédraogo,Pierre,SportStats,Cybersécurité,musique,11,désorganisation,esprit d'équipe,Violet,Curry,Jus de mangue,Kotlin
Garcia,Isabelle,DataInsight,Data,jardinage,3,perfectionnisme,créativité,Jaune,Pizza,Jus d'orange,Python
Sylla,Khadija,CloudSync,Cloud,voyage,9,timidité,persévérance,Bleu,Sushi,Smoothies,Java
Johnson,Liam,E-GovNet,Mobile,foot,2,procrastination,leadership,Noir,Burger,Coca-Cola,Swift
Singh,Tina,FinTrack,QA Testing,natation,5,entêtement,rigueur,Rose,Thieboudienne,Eau,JavaScript
Diallo,Moussa,SafeCity,IA,coding,10,bavardage,curiosité,Vert,Couscous,Café,Go
Chen,Wendy,MediaStream,UI/UX Design,danse,4,susceptibilité,optimisme,Orange,Pâtes carbonara,Limonade,PHP
Martins,Samuel,AgriTech+,Dev Web,gaming,8,trop direct,empathie,Blanc,Lasagnes,Bière,Ruby
Kone,Aïcha,HealthConnect,Blockchain,randonnée,6,naïveté,méthodique,Marron,Poulet Yassa,Lait,Rust
Kim,Zackary,CyberGuard,Cybersécurité,vélo,14,impatience,adaptabilité,Rouge,Ramen,Vin,C#
Silva,Olivia,EduBoost,Data,écriture,1,rêveur,créativité,Bleu,Salade composée,Jus d'orange,SQL
Traoré,Abdoulaye,SmartGrid,DevOps,lecture,13,désorganisation,persévérance,Cyan,Curry,Thé,Bash
Moreau,Claire,TravelBuddy,Mobile,photographie,0,procrastination,esprit d'équipe,Gris,Fondue,Eau,Kotlin
Smith,David,HRPro,UI/UX Design,échecs,12,entêtement,leadership,Jaune,Pizza,Soda,TypeScript
Petit,Rokia,MarketMinds,Dev Web,voyage,9,timidité,rigueur,Violet,Sushi,Café,Python
Williams,Noah,EcoSol,Cloud,cuisine,5,bavardage,curiosité,Noir,Thieboudienne,Smoothies,Java
Brown,Emma,AutoDrive,IA,gaming,7,impulsivité,optimisme,Vert,Burger,Limonade,Go
Miller,Umar,LearnLink,QA Testing,musique,3,perfectionnisme,méthodique,Orange,Pâtes carbonara,Coca-Cola,JavaScript
Davis,Victoria,HomeAI,Blockchain,danse,15,susceptibilité,empathie,Rose,Lasagnes,Bière,C++
Diop,Aïcha,HealthConnect,Data,Lecture,7,Impatient,Curieuse,Bleu,Thieboudienne,Jus de bissap,Python
Dupont,Jean,EduBoost,Dev Web,Football,3,Désordonné,Créatif,Vert,Pizza,Coca-Cola,JavaScript
Chen,Mei,AgriTech+,IA,Peinture,5,Introvertie,Analytique,Rouge,Riz cantonais,Thé vert,Python
Konaté,Moussa,SafeCity,Cybersécurité,Gaming,10,Têtu,Rigoureux,Noir,Yassa poulet,Eau,Java
Silva,Ana,FinTrack,Mobile,Danse,2,Procrastinateur,Optimiste,Jaune,Feijoada,Café,Kotlin
Schmidt,Max,UrbanSmart,DevOps,Escalade,8,Distrait,Méthodique,Gris,Currywurst,Bière,Go
Diallo,Fatoumata,GreenEnergy,Cloud,Voyage,6,Timide,Empathique,Orange,Mafé,Lait,Python
Martin,Sophie,CyberGuard,Cybersécurité,Écriture,4,Perfectionniste,Minutieuse,Violet,Lasagnes,Jus d'orange,C#
Kim,Min-jun,SmartLogistics,Data,Musique,9,Bavard,Communicatif,Blanc,Bibimbap,Soju,R
Nzongo,Marie,InnovHealth,Mobile,Natation,1,Impulsive,Spontanée,Rose,Manioc,Eau de coco,Swift
Dubois,Pierre,NextGenEdu,Dev Web,Programmation,12,Rêveur,Innovant,Cyan,Tartiflette,Vin rouge,PHP
Sylla,Kadiatou,CleanWater,IA,Jardinage,0,Indécise,Patiente,Marron,Attiéké,Jus de mangue,Python
Müller,Lena,EcoMonitor,Cloud,Randonnée,6,Trop critique,Logique,Turquoise,Spätzle,Limonade,Java
Ndoye,Oumar,SafeTransit,DevOps,Course à pied,11,Sarcasme,Résilient,Indigo,Brochettes,Bissap,Bash
Wang,Li,DigitalHealth,Data,Photographie,5,Anxieuse,Organisée,Argent,Dim Sum,Thé au jasmin,SQL
Camara,Mariam,YouthConnect,Mobile,Yoga,3,Sensible,À l'écoute,Or,Tiebu djen,Jus de fruit,Flutter
Garcia,Carlos,FinAssist,Dev Web,Échecs,10,Arrogant,Confidant,Bronze,Tacos,Tequila,JavaScript
Traoré,Aminata,AgroTech,IA,Lecture,8,Obstinée,Déterminée,Bordeaux,Foutou igname,Jus de gingembre,Python
Lee,Jae-hoon,SecureNet,Cybersécurité,Karaté,7,Impatient,Discipliné,Noir,Kimchi jjigae,Eau,Java
Moreau,Louise,CityGreen,Cloud,Cuisine,2,Désordonnée,Créative,Pêche,Crêpes,Cidre,JavaScript
Diallo,Fatou,SafeCity,Dev Web,Danse,7,Procrastinateur,Autonome,Bleu,Thieboudienne,Eau,JavaScript
Smith,John,FinTrack,Data,Coding,10,Têtu,Rigoureux,Noir,Pizza,Café,Python
Martin,Sophie,EduBoost,UX/UI,Lecture,3,Distrait,Créatif,Rose,Salade composée,Jus d'orange,PHP
Koné,Moussa,HealthConnect,Mobile,Foot,8,Impatient,Persévérant,Vert,Poulet Yassa,Coca-Cola,Java
Garcia,Sarah,CyberGuard,Cybersécurité,Gaming,5,Timide,Logique,Gris,Burger,Boisson énergisante,C#
Moreau,Lucas,SmartLogistics,DevOps,Voyage,12,Perfectionniste,Organisé,Violet,Pâtes,Vin,Go
Mbaye,Aminata,AgriTech+,IA,Cuisine,6,Sensible,Empathique,Jaune,Couscous,Thé,Python
Williams,David,DataInsight,Data,Échecs,9,Rêveur,Curieux,Bleu,Sushi,Eau,Rust
Johnson,Emily,AquaMonitor,Cloud,Natation,4,Indécis,Adaptable,Blanc,Lasagnes,Limonade,JavaScript
Bernard,Hugo,RoboChef,Embarqué,Jardinage,11,Rigide,Fiable,Orange,Riz cantonais,Café,C++
Sylla,Rama,UrbanFlow,Dev Web,Danse,2,Bavard,Communicatif,Marron,Tacos,Smoothies,PHP
Petit,Chloé,GreenPulse,Mobile,Randonnée,1,Trop confiant,Optimiste,Vert,Fondue,Jus d'orange,Kotlin
Thomas,Pierre,PowerGrid,DevOps,Vélo,14,Méfiant,Collaboratif,Noir,Curry,Bière,Go
Ndiaye,Bakary,BioGenius,IA,Musique,7,Désordonné,Créatif,Bleu,Thieboudienne,Eau,Python
Roux,Olivia,SecureVote,Cybersécurité,Photographie,5,Procrastinateur,Autonome,Rouge,Sushi,Coca-Cola,C#
Sow,Omar,EcoDrive,Cloud,Gaming,8,Têtu,Persévérant,Gris,Burger,Boisson énergisante,Java
Dubois,Antoine,SpaceQuest,Dev Web,Coding,13,Impatient,Rigoureux,Bleu,Pizza,Café,JavaScript
Traoré,Aïcha,ArtifiSense,UX/UI,Peinture,3,Distrait,Créatif,Rose,Salade composée,Limonade,PHP
Silva,Michael,OpenSourceFlow,Data,Lecture,9,Perfectionniste,Organisé,Violet,Pâtes,Vin,Python
Koné,Fatou,MindPal,Mobile,Voyage,6,Sensible,Empathique,Jaune,Couscous,Thé,Swift
Touré,Fatou,CyberGuard,Cybersécurité,Voyages,9,Impatience,Loyauté,Orange,Burger,Smoothie,Python
Sow,Aminata,AgriTech+,Développement Mobile,Musique,1,Orgueil,Optimisme,Rouge,Sushi,Coca-Cola,JavaScript
Chen,Chloé,EduBoost,Développement Web,Randonnée,12,Procrastination,Persévérance,Bleu,Pâtes,Café,PHP
Kone,Alex,AIRevolution,Intelligence Artificielle,Gaming,7,Têtu,Esprit d'équipe,Vert,Pizza,Eau,Java
Rossi,Olivia,HealthConnect,Data Science,Lecture,5,Désordonné,Rigueur,Blanc,Salade composée,Jus d'orange,Go
Williams,Camille,SmartLogistics,DevOps,Cinéma,14,Bavard,Créativité,Gris,Lasagnes,Thé,Rust
Sarr,Kadiatou,CloudPilot,Cloud Computing,Danse,3,Susceptible,Patience,Violet,Couscous,Limonade,C#
Kim,Daniel,FinTrack,Blockchain,Coding,10,Perfectionnisme,Organisation,Noir,Riz cantonais,Lait,Ruby
Johnson,Emily,SecureChain,Cybersécurité,Yoga,2,Indécision,Empathie,Jaune,Curry,Eau de coco,Swift
Taylor,Michael,UrbanLink,Développement Web,Photographie,8,Distrait,Curiosité,Rose,Tacos,Infusion,Kotlin
Tanaka,Lucas,BioInnovate,Machine Learning,Jardinage,6,Maladroit,Proactivité,Turquoise,Thieboudienne,Cappuccino,TypeScript
Diop,Mariama,QuantumLeap,Data Science,Bénévolat,11,Rancunier,Adaptabilité,Indigo,Paella,Chocolat chaud,C++
Garcia,Sophie,SafeCity,UI/UX Design,Écriture,4,Timidité,Pédagogie,Marron,Poulet Yassa,Smoothie,Scala
Smith,Oumar,AeroDesign,Systèmes Embarqués,Sports nautiques,13,Curieux (trop),Sens de l'humour,Or,Kebab,Bière (sans alcool),R
Wang,Isabella,GlobalConnect,Big Data,Méditation,0,Sarcasme,Loyauté,Argent,Mafé,Eau,Bash
N'Diaye,Lamine,SpaceFrontier,Robotique,Football,9,Impatience,Persévérance,Rouge,Burger,Coca-Cola,Python
Miller,Jessica,MediaFlow,Test Logiciel,Voyages,7,Orgueil,Optimisme,Vert,Sushi,Café,JavaScript
Suzuki,Jordan,FutureLearn,Analyse Fonctionnelle,Gaming,5,Procrastination,Rigueur,Bleu,Pizza,Jus d'orange,PHP
Dubois,Sophie,DigiHealth,Développement Mobile,Lecture,10,Têtu,Esprit d'équipe,Blanc,Salade composée,Thé,Java
Müller,Matthew,EcoHarvest,DevOps,Cinéma,6,Désordonné,Créativité,Gris,Lasagnes,Limonade,Go
Dupont,Pierre,AgriTech+,Cloud Computing,Musique,13,Distrait,Optimiste,Jaune,Pizza,Jus d'orange,C#
Sylla,Marie,EduBoost,Développement Mobile,Peinture,4,Susceptible,Honnête,Rose,Burger,Limonade,Go
Brown,Michael,SafeCity,DevOps,Lecture,8,Perfectionnisme,Fiable,Bleu,Sushi,Eau pétillante,Python
Garcia,Sofia,FinTrack,Data Science,Cuisine,2,Impatience,Curieux,Rouge,Tacos,Café,JavaScript
Chen,Wei,HealthConnect,Intelligence Artificielle,Gaming,10,Entêtement,Déterminé,Vert,Curry Indien,Thé,Java
Traoré,Moussa,GreenEnergy,Cybersécurité,Randonnée,6,Timide,Empathique,Noir,Couscous,Eau fraîche,Rust
Williams,Sarah,SmartLogistics,Développement Web,Jardinage,1,Râleur,Organisé,Blanc,Pâtes Carbonara,Coca-Cola,PHP
Patel,Rahul,CyberGuardian,Blockchain,Voyage,15,Procrastination,Rigoureux,Orange,Salade Composée,Bière artisanale,C++
Nguyen,Neha,AquaMonitor,UI/UX Design,Photographie,7,Désordonné,Créatif,Violet,Lasagnes,Smoothie,TypeScript
Rodriguez,Mateo,WasteWise,Robotique,Sports d'équipe,3,Tête en l'air,Patient,Gris,Poulet Yassa,Vin rouge,Kotlin
Martin,Sophie,DataSphere,Développement Mobile,Programmation,9,Distrait,Optimiste,Jaune,Thieboudienne,Jus d'orange,Swift
Koné,Aïcha,CodeHive,Cloud Computing,Danse,5,Susceptible,Honnête,Rose,Pizza,Limonade,Go
Jones,David,PixelCraft,DevOps,Lecture,11,Perfectionnisme,Fiable,Bleu,Burger,Eau pétillante,Python
Martinez,Isabella,NeuroLink,Data Science,Cuisine,0,Impatience,Curieux,Rouge,Sushi,Café,JavaScript
Li,Mei,QuantumVault,Intelligence Artificielle,Gaming,14,Entêtement,Déterminé,Vert,Tacos,Thé,Java
Camara,Amadou,TerraForm,Cybersécurité,Randonnée,7,Timide,Empathique,Noir,Curry Indien,Eau fraîche,Rust
Davis,Emily,StarGazer,Développement Web,Jardinage,2,Râleur,Organisé,Blanc,Couscous,Coca-Cola,PHP
Singh,Anjali,EcoSense,Blockchain,Voyage,12,Procrastination,Rigoureux,Orange,Pâtes Carbonara,Bière artisanale,C++
Wang,Jian,FlowState,UI/UX Design,Photographie,8,Désordonné,Créatif,Violet,Salade Composée,Smoothie,TypeScript
Gonzalez,Valeria,MindWeaver,Robotique,Sports d'équipe,4,Tête en l'air,Patient,Gris,Rôti de boeuf,Vin rouge,Kotlin
Dubois,Julie,AgriTech+,Cloud Computing,Musique,6,Distrait,Optimiste,Jaune,Pizza,Jus d'orange,C#
Diop,Mariam,EduBoost,Développement Mobile,Peinture,10,Susceptible,Honnête,Rose,Burger,Limonade,Go
Miller,John,SafeCity,DevOps,Lecture,3,Perfectionnisme,Fiable,Bleu,Sushi,Eau pétillante,Python
Hernandez,Diego,FinTrack,Data Science,Cuisine,1,Impatience,Curieux,Rouge,Tacos,Café,JavaScript
Zhang,Lin,HealthConnect,Intelligence Apprentissage,Gaming,13,Entêtement,Déterminé,Vert,Curry Indien,Thé,Java
Cissé,Oumar,GreenEnergy,Cybersécurité,Randonnée,9,Timide,Empathique,Noir,Couscous,Eau fraîche,Rust
Wilson,Jessica,SmartLogistics,Développement Web,Jardinage,5,Râleur,Organisé,Blanc,Pâtes Carbonara,Coca-Cola,PHP
Sharma,Arjun,CyberGuardian,Blockchain,Voyage,11,Procrastination,Rigoureux,Orange,Salade Composée,Bière artisanale,C++
Liu,Hao,AquaMonitor,UI/UX Design,Photographie,0,Désordonné,Créatif,Violet,Lasagnes,Smoothie,TypeScript
Perez,Elena,WasteWise,Robotique,Sports d'équipe,15,Tête en l'air,Patient,Gris,Poulet Yassa,Vin rouge,Kotlin
Bernard,Antoine,DataSphere,Développement Mobile,Programmation,7,Distrait,Optimiste,Jaune,Thieboudienne,Jus d'orange,Swift
Ndiaye,Kadidiatou,CodeHive,Cloud Computing,Danse,2,Susceptible,Honnête,Rose,Pizza,Limonade,Go
Moore,Daniel,PixelCraft,DevOps,Lecture,10,Perfectionnisme,Fiable,Bleu,Burger,Eau pétillante,Python
Sanchez,Javier,NeuroLink,Data Science,Cuisine,4,Impatience,Curieux,Rouge,Sushi,Café,JavaScript
Kumar,Priya,QuantumVault,Intelligence Apprentissage,Gaming,8,Entêtement,Déterminé,Vert,Tacos,Thé,Java
Mbow,Ibrahim,TerraForm,Cybersécurité,Randonnée,1,Timide,Empathique,Noir,Curry Indien,Eau fraîche,Rust
Taylor,Olivia,StarGazer,Développement Web,Jardinage,12,Râleur,Organisé,Blanc,Couscous,Coca-Cola,PHP
Nguyen,Neha,EcoSense,Blockchain,Voyage,6,Procrastination,Rigoureux,Orange,Pâtes Carbonara,Bière artisanale,C++
Wang,Jian,FlowState,UI/UX Design,Photographie,9,Désordonné,Créatif,Violet,Salade Composée,Smoothie,TypeScript
